127.0.0.1, 2016-06-29 16:45:38, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.004869
127.0.0.1, 2016-06-29 16:45:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000422
127.0.0.1, 2016-06-29 16:45:40, POST, /admin/default/index, HTTP/1.1, 303, 0.067634
127.0.0.1, 2016-06-29 16:45:41, GET, /admin/default/site, HTTP/1.1, 200, 0.221955
127.0.0.1, 2016-06-29 16:45:41, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.001607
127.0.0.1, 2016-06-29 16:45:41, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.002007
127.0.0.1, 2016-06-29 16:45:48, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 6.946268
127.0.0.1, 2016-06-29 16:45:48, POST, /admin/default/site, HTTP/1.1, 303, 1.270491
127.0.0.1, 2016-06-29 16:45:49, POST, /admin/default/check_version, HTTP/1.1, 200, 7.870144
127.0.0.1, 2016-06-29 16:45:49, GET, /admin/default/design/Confeitaria, HTTP/1.1, 200, 1.055252
127.0.0.1, 2016-06-29 16:45:49, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.004822
127.0.0.1, 2016-06-29 16:45:49, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.002944
127.0.0.1, 2016-06-29 16:45:49, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.007900
127.0.0.1, 2016-06-29 16:45:49, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.008324
127.0.0.1, 2016-06-29 16:45:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000385
127.0.0.1, 2016-06-29 16:45:54, GET, /admin/default/peek/Confeitaria/models/db.py, HTTP/1.1, 200, 0.078106
127.0.0.1, 2016-06-29 16:45:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000545
127.0.0.1, 2016-06-29 16:46:07, GET, /admin/default/edit/Confeitaria/models/db.py, HTTP/1.1, 200, 5.776190
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 4.254826
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 4.255642
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 4.255534
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 4.262725
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 4.263002
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 4.263992
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.032275
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.031461
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.042765
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.010793
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.005083
